Press,Headline,Analysis
연합뉴스,"'내년 첫 전기차 출시' 中샤오미 ""테슬라 따라잡을 준비됐다""",긍정
YTN,"'자국 우선주의' 허들 만난 '전기차', 묘수는?",중립
연합뉴스,"애플 따라하던 中 샤오미, 전기차는 먼저 치고나가",긍정
연합뉴스,"美 전기차 전환, 정부 지원에도 수요 감소로 기대보다 느려",부정
매일경제,주춤한 전기차 … 내년 보급형 몰려온다,중립
전자신문,내년 '보급형 전기차' 몰려온다,긍정
쿠키뉴스,높아지는 외국인 이용률에…전기차·충전기 영어 안내문 나온다,중립
조선비즈,하이브리드에 치이는 전기차… 내년엔 보조금도 감소,부정
매일경제,"'전기차 출격' 샤오미 ""포르쉐·테슬라보다 낫다""",긍정
머니투데이,보조금·할인 늘려도…전기차 시장 '후진',부정
연합뉴스,"獨·佛 전기차 보조금 중단에 한국車업계 ""정부 대책 마련해야""",부정
연합뉴스,"현대 코나, 프랑스 전기차 보조금 계속 받는다…기아는 제외(종합)",중립
매일경제,“포르쉐 타이칸 너무 닮았네”…‘대륙의 실수’ 샤오미 첫 전기차 공개,중립
한국경제,"쇠락하던 車강국 스페인, 유럽 '전기차 허브'로",긍정
한국경제,"주가 지지부진한 전기차 충전기업…""흑자전환 기대 어려워""",부정
뉴시스,연이은 강추위로 전기차 차주들 '걱정' 커진다…왜?,부정
한겨레,전기차 주춤하는 사이 하이브리드차 ‘날개’ [ESC],부정
머니투데이,"""전기차인데 싸네?""…중국산 배터리 넣고 가격 내리자 판매 '훨훨'",긍정
한경비즈니스,“요즘 누가 전기차 사요”...‘금의환향’ 하이브리드,부정
지디넷코리아,"""쏟아부어야 이긴다""…전기차 수익개선 언제쯤?",부정
문화일보,전기차도 ‘가성비’…가격 낮추니 잘 나가네~[자동차],긍정
연합뉴스,"美 컨슈머리포트 ""전기차, 내연기관차보다 문제 79% 더 많아""",부정
머니투데이,"""860만원 줘도 못 사""…전기차 인기 '방전', 보조금 남아 돈다",부정
매일경제,전기차 판매량 감소 … 판 흔들린다 보급형 전기차 대전… 판 뒤집는다,중립
뉴시스,내년 전기차 보조금 대폭 축소…완성차업계 대응은?,중립
중앙일보,"총알도 버티는 강판…현대 전기차, 그렇게 도요타 눌렀다",긍정
연합뉴스,"전기차 운전자 73% '구매 추천'…""환경보호·유지비 절감""",긍정
SBS,[단독] 전기차 충전 마치자 불길…800억 투입해 바꾼다,부정
시사저널,세계 전기차 대전(大戰) 동남아시아를 달군다,중립
키즈맘,전기차 대세되려면 얼마나 걸릴까?,중립
머니투데이,"아이오닉·코나 질주 제동 걸리나…독일, 전기차 보조금 돌연 중단",부정
중앙일보,폭스바겐도 3000만원대 맞춘다…내년 쏟아지는 '반값 전기차',긍정
뉴시스,KG모빌 전기차 '토레스 EVX'…'초기 품질' 논란,부정
노컷뉴스,전기차 '거품' 빠졌나…여기저기 '허리띠' 졸라매기,부정
비즈워치,전기차 시장 바닥 쳤다…보급형으로 판 키울까,중립
매일경제,"""전기차로 동남아 일주 … 이 어려운 걸 아이오닉5가 해냈습니다""",긍정
연합뉴스,"中전기차업체 비야디 ""헝가리에 첫 승용차 공장 건립"" 발표(종합)",긍정
오토타임즈,[시승]전기차 패러다임 뒤 흔들 포르쉐 마칸 BEV,중립
매일경제,"방전된 전기차 ‘비장의 한수’…“2000만원대, 대답이 됐으려나?”",부정
머니투데이,"""고맙다 전기차""…獨·日 제친 中자동차 [차이나는 중국]",긍정
세계일보,"“전기차 시장, 올 하반기 들어 정체기”",부정
조선일보,"전기차 시대 유럽, 일자리 21만개 사라진다",부정
국민일보,전기차 수요 둔화에도… ‘K 배터리’ 공격 투자,긍정
연합뉴스,"K-배터리, 전기차 수요 둔화에 북미 인력 줄인다…""속도 조절""",부정
뉴시스,"BMW5 최초 전기차 'i5'…""승차감·전비 다 잡았다""[시승기]",긍정
한국경제,전기차 비싸서 못 샀는데…'작고 싼' 車 줄줄이 나온다,중립
조선비즈,기대보다 느린 美 전기차 전환…비싼 가격이 걸림돌,부정
연합뉴스,"현대차 ""日에 내년 아이오닉5N·전기버스, 내후년 콤팩트 전기차""",중립
머니투데이,"보조금 확대도, 할인도 효과 미미…가라앉은 한국 전기차",부정
데일리안,[아듀 2023-자동차] 전기차 안팔리고 IRA 덮쳤어도… '자동차 강국' 우뚝,중립
머니투데이,車업계 고집 꺾었다…전기차 가격 낮추자 생긴 일,부정
머니투데이,'전기차 천국' 노르웨이서 전기차 600㎞ 운전해봤다,중립
쿠키뉴스,‘전기차 충전기’ 안내문은 왜 한글만...“정부 입장 있어야”,부정
오토타임즈,[하이빔]전기차 무역이 자유? 천만에 '보호'가 지배,부정
데일리안,"""저렴하면 LFP, 비싸면 NCM?""… 볼보, 전기차 기준 다시 세운다",중립
연합뉴스,"캐나다, 2035년까지 신차 모두 전기차로…탄소 배출 차량 퇴출",긍정
머니투데이,"獨, 전기차 보조금 갑자기 중단…佛은 타지역 배제 '손질'",부정
한국경제,"""美 전기차 재고 역대급""…포드·GM 생산 계획 잇단 철회",부정
한국경제,차값 낮추는 美 전기차…주가는 '훈풍',긍정
파이낸셜뉴스,韓 배터리 달고 美 보조금 받는 전기차 17종 → 31종 '껑충' [날개 단 K-배터리],긍정
중앙일보,"'대륙의 실수' 샤오미 ""테슬라 뛰어 넘는다""…전기차 시장 등판",부정
지디넷코리아,"中 니오, 프리미엄 전기차 선보인다…""포르쉐 파나메라 앞서""",긍정
연합뉴스,"올해 친환경차 수출, 전기차 선전에 70만대 넘어 '역대 최다'",긍정
뉴시스,"테슬라·볼보, 뜻밖의 생산지…""중국산 전기차 급증""",중립
연합뉴스,"美 전기차 충전, 테슬라 방식으로 통일…현대차도 내년부터 적용(종합)",긍정
머니투데이,"印 ""전기차 관세 인하 계획 無""…테슬라·모디, 협력 협상 또 무산되나",부정
연합뉴스,"[인터뷰] 프랑스 통상장관 ""佛 전기차 보조금 정책, 한국차 차별 아니다""",중립
머니투데이,'기아 니로·테슬라 모델3' 빠진 佛 전기차 보조금 대상…기준이 뭐?,중립
연합뉴스,'중국 전기차 제조 노하우 배우자'…눈 돌리는 글로벌 업체들,중립
연합뉴스,프랑스 이어 독일도 전기차 보조금 중단…돌발결정에 업계 반발,부정
주간동아,비야디(BYD) 앞세운 중국의 ‘전기차 굴기’,중립
매일경제,역시 전기차는 시기상조였나…독일도 보조금 중단 ‘날벼락’ 왜,부정
한국경제,샤오미도 야심찬 전기차 출시…중국 EV 춘추전국시대,중립
동아일보,[사설]‘佛 IRA’서 韓 전기차 불이익… 높아진 유럽 무역장벽 대비를,부정
한국경제,바이든 세금 쏟아부었지만…혁신 없는 전기차·신재생 '흔들',부정
머니투데이,"질주하던 전기차 성장 '주춤'…배터리 업계선 ""오히려 좋아""",중립
