"연령별","시간대별","TV별",전체 (명),6:00,6:20,6:40,7:00,7:20,7:40,8:00,8:20,8:40,9:00,9:20,9:40,10:00,10:20,10:40,11:00,11:20,11:40,12:00,12:20,12:40,13:00,13:20,13:40,14:00,14:20,14:40,15:00,15:20,15:40,16:00,16:20,16:40,17:00,17:20,17:40,18:00,18:20,18:40,19:00,19:20,19:40,20:00,20:20,20:40,21:00,21:20,21:40,22:00,22:20,22:40,23:00,23:20,23:40,0:00,0:20,0:40,1:00,1:20,1:40,2:00,2:20,2:40,3:00,3:20,3:40,4:00,4:20,4:40,5:00,5:20,5:40
"전체","주중 ","TV수상기",5410,3.4,4.3,4.7,12.4,12.4,10.5,12.7,13.5,12.7,12.2,11.9,10.9,8.2,8.0,7.5,5.3,5.3,5.1,4.4,4.3,4.1,3.5,3.5,3.3,4.7,4.8,4.6,6.0,6.0,5.9,5.6,5.7,5.4,5.5,5.6,5.3,9.7,10.3,10.3,18.0,19.3,19.7,35.1,37.1,37.3,44.1,44.2,42.1,36.3,35.3,32.4,19.2,17.7,15.1,5.6,5.0,4.1,1.6,1.5,1.2,0.6,0.6,0.6,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2
"전체","주말","TV수상기",1645,2.5,3.1,3.3,9.9,9.9,9.6,12.7,13.5,12.9,13.9,14.9,14.9,15.2,15.2,14.1,11.6,11.6,10.9,9.0,8.9,8.3,7.7,7.5,7.1,9.4,9.6,9.5,10.6,10.8,10.7,9.6,9.8,9.2,12.0,12.1,11.8,14.3,14.9,15.3,24.5,25.9,26.7,40.7,41.5,41.1,46.3,46.4,45.2,36.6,37.2,36.2,20.8,20.2,19.1,8.3,7.7,6.0,1.8,1.6,1.3,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
"10대","주중 ","TV수상기",382,0.2,1.0,1.0,1.8,1.8,0.6,0.5,0.5,0.5,0.7,0.7,0.6,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.7,0.7,1.7,1.7,1.7,2.1,2.1,2.1,2.1,2.1,2.1,1.8,1.8,0.1,1.8,1.8,1.8,1.6,1.6,1.6,2.5,2.5,2.5,6.6,8.2,7.8,7.0,6.7,6.7,15.6,14.5,10.7,12.3,13.2,12.1,8.1,4.9,3.2,0.4,0.4,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"10대","주말","TV수상기",113,0.0,0.0,0.0,1.9,1.9,1.9,0.0,0.0,0.0,0.7,2.5,2.5,1.8,1.8,1.8,1.8,1.8,1.8,0.0,5.5,5.5,5.5,5.5,5.5,19.3,19.3,19.3,8.5,8.5,8.5,6.3,6.3,6.3,6.9,6.9,6.9,2.4,2.4,2.4,9.0,9.0,9.0,15.5,9.7,9.7,7.2,7.2,7.2,8.6,8.6,11.2,9.0,9.0,9.0,5.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20대","주중 ","TV수상기",700,1.1,1.1,1.3,2.5,3.1,2.4,1.5,1.5,1.2,1.6,1.5,1.6,1.6,1.4,0.9,1.4,1.4,1.4,2.9,2.9,2.9,0.9,0.9,0.5,1.2,1.2,1.2,1.7,1.7,1.7,0.8,1.2,1.2,1.1,1.1,0.7,2.4,2.4,2.4,5.5,5.9,5.8,12.0,11.7,11.4,15.2,16.2,15.6,17.6,18.8,18.5,11.8,11.4,9.7,3.3,3.5,2.8,0.9,0.7,0.9,0.3,0.3,0.3,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
"20대","주말","TV수상기",281,0.0,0.0,0.0,3.3,3.3,3.7,1.5,1.5,1.5,2.4,2.6,3.3,8.5,8.8,6.0,4.6,4.6,4.6,6.2,5.2,5.2,5.6,4.7,4.7,1.5,1.5,1.5,4.1,4.9,4.9,6.1,6.1,5.3,8.9,8.2,8.2,6.2,6.6,6.6,10.9,10.9,12.2,14.3,14.3,13.6,13.9,14.7,13.9,14.1,15.1,14.7,15.6,15.6,14.5,5.9,5.9,4.9,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"30대","주중 ","TV수상기",711,1.1,1.8,1.8,5.5,5.2,3.2,3.1,3.1,2.4,3.2,3.1,2.2,1.9,1.9,1.9,1.4,1.4,1.2,1.7,1.6,1.6,1.4,1.4,1.4,1.2,1.2,0.9,2.1,1.8,1.7,0.8,0.8,0.9,1.5,1.5,1.0,4.1,4.0,4.5,8.4,10.3,10.6,20.6,25.0,25.3,34.3,34.7,34.0,32.6,32.9,30.5,22.2,18.6,16.3,7.9,7.3,6.5,2.6,2.6,2.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"30대","주말","TV수상기",289,0.1,0.5,0.5,2.3,2.9,2.5,6.0,6.0,6.0,8.9,9.7,9.1,14.7,15.6,13.7,12.4,12.2,11.9,9.4,9.0,7.0,5.9,5.8,5.8,7.4,7.7,7.6,9.3,10.3,10.3,7.7,7.7,7.7,7.5,7.8,7.1,12.7,12.6,12.6,16.3,16.3,16.0,28.0,30.0,28.6,39.8,40.3,39.8,34.5,35.4,33.2,21.7,19.6,19.3,9.1,6.1,6.1,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"40대","주중 ","TV수상기",970,2.8,2.8,3.6,10.8,10.1,6.7,7.6,8.9,9.2,10.3,9.4,9.1,6.7,6.6,6.8,5.9,5.8,5.7,2.4,2.2,2.1,1.3,1.4,1.4,3.0,3.2,3.0,3.4,3.4,3.5,2.6,3.5,3.5,3.7,3.7,3.3,5.1,6.0,6.1,11.9,13.4,14.0,33.2,34.4,35.4,46.2,48.8,46.5,45.4,44.1,40.5,26.3,24.4,20.5,6.5,6.3,4.6,1.4,1.7,1.1,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6
"40대","주말","TV수상기",248,1.3,2.1,2.1,9.2,7.8,7.3,6.3,7.0,5.8,10.0,12.6,12.4,15.0,13.7,13.5,10.3,10.3,9.8,7.7,7.7,6.7,4.2,4.2,4.2,11.0,11.0,10.7,9.1,7.8,7.8,9.0,10.0,9.0,13.6,13.6,13.2,13.4,13.7,12.9,19.5,21.2,21.5,40.8,41.3,38.9,52.2,52.1,51.7,45.7,46.9,46.6,25.8,26.9,25.6,14.9,14.6,13.2,3.7,3.6,2.3,1.3,1.3,0.2,0.3,0.6,0.6,0.3,0.0,0.0,0.0,0.0,0.0
