번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률, 
923,요즘육아금쪽같은내새끼(본),오락,채널A,2022-10-14 0:00,금,20:03:59,21:16:56,0072:57,118회,0.887281118,1.215453587,0,0,0.016291745,0.022317459,0.054071061,0.074069946,0.110033841,0.15073129,0.363237286,0.497585323,0.34720631,0.475625082,0.416143989,0.570060258,0.89485305,1.225826096,1.066962506,1.461592473,0.792465149,1.085568697,1.143035078,1.565801477,1.800732106,2.46675631,0.964565131,1.321322097,1.622560793,2.222686017,
978,요즘육아금쪽같은내새끼(본),오락,채널A,2022-10-28 0:00,금,20:02:46,21:16:16,0073:30,120회,0.850780943,1.165453346,0.113096171,0.154926262,0,0,1.21544573,1.664994151,0.777732666,1.065387214,0.453952195,0.621852322,0.291555367,0.399390913,0.226929521,0.310862357,0.825127947,1.130312257,0.521384859,0.714225834,1.303909377,1.786177229,0.914519964,1.252767074,1.868449139,2.559519369,1.050543273,1.439100374,0.925680559,1.26805556,
1181,요즘육아금쪽같은내새끼(본),오락,채널A,2022-10-21 0:00,금,20:04:48,21:15:20,0070:32,119회,0.748918048,1.069882926,0,0,0,0,0.25850014,0.369285914,0.590216972,0.843167103,0.111690037,0.159557196,0.208398408,0.297712012,0.514047203,0.734353147,1.124508833,1.60644119,0.767466549,1.096380785,0.598535437,0.855050624,0.805385498,1.150550712,1.867202037,2.667431481,0.850238511,1.214626444,1.004541483,1.435059261,
1241,요즘남자라이프신랑수업(본),오락,채널A,2022-10-19 0:00,수,21:23:34,22:54:18,0090:44,37회,0.723361329,0.80373481,0.293839812,0.32648868,0,0,0.179705238,0.199672487,0.227835663,0.253150736,0.436291392,0.484768214,0.270920512,0.301022791,0.816319432,0.907021591,0.526858015,0.585397794,0.754230926,0.838034363,0.429583485,0.477314983,0.352543474,0.391714971,1.49933016,1.6659224,0.822579519,0.913977243,1.46159733,1.623997033,
1302,요즘육아금쪽같은내새끼(본),오락,채널A,2022-10-07 0:00,금,20:03:30,21:16:21,0072:51,117회,0.699462718,0.971475997,0.016823167,0.02336551,0,0,0.169032528,0.2347674,0.200991892,0.279155406,0.343068989,0.476484706,0.008007079,0.011120943,0.48769677,0.677356625,0.982986342,1.365258808,0.617058659,0.857025915,0.742028866,1.030595647,0.880273239,1.222601721,1.360392319,1.889433776,0.782703166,1.08708773,1.176045415,1.63339641,
1352,요즘남자라이프신랑수업(본),오락,채널A,2022-10-12 0:00,수,21:23:13,22:55:48,0092:35,36회,0.68361477,0.735069645,0,0,0.232113004,0.249583875,0.036078216,0.03879378,0.025010073,0.026892552,0.084779212,0.091160443,0.191889634,0.206332939,0.654077783,0.703309444,0.63860885,0.686676183,0.732993295,0.788164834,0.672011343,0.722592842,0.366375548,0.393952202,1.021872949,1.098788117,1.215697898,1.307202041,1.371368052,1.474589303,
1399,요즘남자라이프신랑수업(본),오락,채널A,2022-10-05 0:00,수,21:22:05,22:53:46,0091:41,35회,0.665030157,0.722858866,0,0,0,0,0.040540251,0.044065491,0.076968916,0.083661865,0.107009365,0.116314528,0.569259902,0.618760764,0.182428365,0.198291701,0.642577086,0.698453354,0.733947687,0.797769225,0.57193971,0.621673597,0.931845542,1.012875589,0.929512571,1.010339751,1.124495461,1.222277675,1.167090778,1.268576933,
1460,요즘남자라이프신랑수업(본),오락,채널A,2022-10-26 0:00,수,21:22:32,22:56:23,0093:51,38회,0.642822003,0.691206455,0,0,0,0,0.121649138,0.130805524,0.090251408,0.097044524,0.235439094,0.253160316,0.469277062,0.504598991,0.04931244,0.053024129,0.927289129,0.997085085,0.496987894,0.534395585,0.542837884,0.58369665,0.678934803,0.730037422,1.427502992,1.534949454,0.963867172,1.036416314,1.041119369,1.119483193,
633,요즘육아금쪽같은내새끼(본),오락,채널A,2022-11-04 0:00,금,20:03:10,21:24:02,0080:52,121회,1.070963209,1.322176801,0.012125525,0.014969784,0.63410653,0.782847567,0.157193999,0.194066665,0.29048881,0.358628161,0.384610155,0.474827352,0.378256596,0.466983452,0.652774285,0.805894179,1.251576265,1.545155883,1.209939332,1.493752261,1.75715325,2.169325,0.946399309,1.168394208,1.46313269,1.806336655,1.256406442,1.551119064,1.87454667,2.314255148,
772,요즘육아금쪽같은내새끼(본),오락,채널A,2022-11-18 0:00,금,20:03:41,21:22:13,0078:32,123회,0.953480413,1.222410786,0.004363385,0.005594083,0,0,1.091729566,1.39965329,0.194985465,0.249981365,1.165116904,1.49373962,0.053726726,0.068880418,0.395244603,0.50672385,0.988474463,1.267274953,0.606574544,0.777659672,0.871007346,1.116676085,0.369173704,0.47329962,2.2719851,2.91280141,1.194853194,1.531863069,1.64501593,2.108994782,
