번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률
1313,고딩엄빠2(본),오락,MBN,2022-10-11 0:00:00,화,22:22:15,23:10:33,48:18:00,19회,0.694698105,0.789429665,0.008282736,0.0094122,0.009844294,0.011186698,0.109959887,0.124954417,0.005865124,0.006664914,0.620858233,0.70552072,0.207126797,0.23537136,0.647199918,0.735454452,0.731010592,0.830693854,0.622662892,0.707571469,0.908564994,1.03246022,0.351331818,0.399240703,0.678812563,0.771377912,0.879116023,0.998995481,1.585145586,1.801301802
1333,고딩엄빠2(본),오락,MBN,2022-10-18 0:00:00,화,22:21:12,23:05:29,44:17:00,20회,0.68834683,0.80040329,1.027875538,1.195204114,0,0,0.697730202,0.811314188,0.383096564,0.445461121,0.169323114,0.196887342,0.0038482,0.004474651,0.296966362,0.345309724,0.733103667,0.852446124,0.719173844,0.836248656,0.592809281,0.689313117,0.450178705,0.523463611,1.211601919,1.40883944,1.088458563,1.265649492,1.10592964,1.285964697
1394,고딩엄빠2(본),오락,MBN,2022-10-25 0:00:00,화,22:22:28,23:07:13,41:53:00,21회,0.667425208,0.767155411,0.010759092,0.012366772,0.067747384,0.077870556,0.097623458,0.112210871,0.120085591,0.138029414,0,0,0.254727776,0.292790548,0.45260752,0.520238529,0.804439286,0.924642857,0.631572703,0.725945636,0.792907116,0.911387489,0.254063579,0.292027103,1.234659144,1.419148441,0.743514361,0.854614208,1.601625191,1.840948496
1666,고딩엄빠2(본),오락,MBN,2022-10-04 0:00:00,화,22:21:19,23:09:18,47:59:00,18회,0.580308103,0.674776864,0.005192653,0.006037969,0,0,0.432013971,0.502341827,0.3202272,0.372357209,0.191772212,0.222990944,0.158549097,0.184359415,0.420851452,0.489362153,0.51062759,0.593753012,0.388982028,0.452304684,0.592013496,0.688387786,0.738020667,0.858163566,0.681069698,0.79194151,0.636501369,0.74011787,1.303800342,1.51604691
730,고딩엄빠2(본),오락,MBN,2022-11-01 0:00:00,화,22:20:00,23:07:15,47:15:00,22회,0.993656827,1.142134283,0,0,0,0,0.079332788,0.091187112,0.181265776,0.208351466,0.005918534,0.006802913,0.808524566,0.929338581,0.59995082,0.689598643,0.840587543,0.966192578,1.250732348,1.437623388,0.751966767,0.864329617,0.506535284,0.582224465,1.951469293,2.243068153,1.582436214,1.8188922,1.949347232,2.240629003
796,고딩엄빠2(본),오락,MBN,2022-11-22 0:00:00,화,22:24:52,23:12:31,47:39:00,25회,0.934957553,1.074663854,0,0,0.44773673,0.514639919,0.375025223,0.431063474,0.222993265,0.256314098,0.057185589,0.065730562,0.11126987,0.127896403,0.449747663,0.516951337,0.897902869,1.032072264,0.856921113,0.984966797,0.955179874,1.097907901,0.661825884,0.760719407,1.468143362,1.687521105,1.579493877,1.815510203,1.994001116,2.291955306
817,고딩엄빠2(본),오락,MBN,2022-11-29 0:00:00,화,22:23:58,23:12:40,37:10:00,26회,0.918991991,1.068595339,0,0,0,0,0.818516135,0.951762947,0.123298267,0.143370078,0.826226098,0.960728021,0.801699809,0.93220908,0.979365354,1.138796923,1.569665082,1.825191956,1.24389546,1.44639007,0.940000457,1.093023787,0.874486073,1.016844271,0.713289905,0.829406866,1.275655775,1.483320669,0.937079477,1.089627299
951,고딩엄빠2(본),오락,MBN,2022-11-15 0:00:00,화,22:23:00,23:13:46,50:46:00,24회,0.839191888,0.964588377,0.439631442,0.505323497,0,0,0.378295174,0.434822039,0.014733161,0.016934668,0.203322863,0.23370444,0.548803045,0.630808097,0.851988458,0.979297079,1.610247827,1.850859572,0.747997265,0.859766971,1.240055347,1.425350973,0.749736175,0.861765719,0.979142594,1.125451258,1.0972473,1.261203793,1.127581308,1.296070469
1405,고딩엄빠2(본),오락,MBN,2022-11-08 0:00:00,화,22:22:11,23:09:58,47:47:00,23회,0.638962876,0.726094177,0.617285692,0.701461014,0,0,0.975331082,1.108330775,0,0,0.417629869,0.474579397,0.003061172,0.003478605,0.284132076,0.32287736,0.354421442,0.402751639,0.409504113,0.465345583,1.020268249,1.159395738,0.410345987,0.466302258,1.102043297,1.252321928,0.880378405,1.000430006,1.120109612,1.272851832
261,조선의사랑꾼(본),오락,TV CHOSUN,2022-12-26 0:00:00,월,22:09:05,23:26:49,77:44:00,1회,2.064961538,1.912001424,1.676736663,1.552533948,0.11344006,0.105037092,0.846214237,0.783531701,0.246400248,0.228148378,0.551336004,0.5104963,0.871694375,0.807124421,1.080822006,1.000761117,0.6903151,0.639180648,0.593421236,0.549464108,1.910309408,1.768805008,1.968705327,1.822875303,2.52137522,2.334606686,3.397879943,3.146185132,5.45631591,5.052144361
